CUST_0004,TXN_00000000,715.92,2023-02-04
CUST_0021,TXN_00000001,436.8,2023-05-29
CUST_0064,TXN_00000002,406.87,2023-06-14
CUST_0007,TXN_00000003,362.33,2023-03-15
CUST_0042,TXN_00000004,458.4,2023-09-24
CUST_0019,TXN_00000005,965.89,2023-12-09
CUST_0005,TXN_00000006,718.04,2023-11-20
CUST_0023,TXN_00000007,260.35,2023-11-28
CUST_0089,TXN_00000008,68.35,2023-05-21
CUST_0048,TXN_00000009,977.18,2023-02-04
CUST_0085,TXN_00000010,19.49,2023-12-19
CUST_0017,TXN_00000011,709.38,2023-07-09
CUST_0060,TXN_00000012,711.03,2023-04-25
CUST_0027,TXN_00000013,322.82,2023-12-13
CUST_0088,TXN_00000014,346.26,2023-09-07
CUST_0066,TXN_00000015,774.62,2023-06-04
CUST_0045,TXN_00000016,964.52,2023-03-18
CUST_0082,TXN_00000017,906.84,2023-10-04
CUST_0067,TXN_00000018,325.04,2023-03-14
CUST_0006,TXN_00000019,652.05,2023-12-21
CUST_0001,TXN_00000020,56.7,2023-05-20
CUST_0035,TXN_00000021,291.91,2023-05-28
CUST_0015,TXN_00000022,302.41,2023-01-19
CUST_0045,TXN_00000023,375.0,2023-12-21
CUST_0045,TXN_00000024,439.85,2023-09-20
CUST_0098,TXN_00000025,889.88,2023-05-16
CUST_0056,TXN_00000026,633.33,2023-11-16
CUST_0073,TXN_00000027,275.72,2023-09-29
CUST_0050,TXN_00000028,613.06,2023-12-28
CUST_0054,TXN_00000029,30.82,2023-10-08
CUST_0081,TXN_00000030,745.1,2023-02-02
CUST_0035,TXN_00000031,381.22,2023-04-27
CUST_0063,TXN_00000032,520.22,2023-10-08
CUST_0095,TXN_00000033,906.23,2023-04-19
CUST_0015,TXN_00000034,443.42,2023-12-27
CUST_0086,TXN_00000035,125.42,2023-10-08
CUST_0006,TXN_00000036,203.31,2023-05-01
CUST_0064,TXN_00000037,957.09,2023-02-20
CUST_0100,TXN_00000038,330.43,2023-08-28
CUST_0030,TXN_00000039,784.38,2023-03-10
CUST_0020,TXN_00000040,930.26,2023-02-22
CUST_0021,TXN_00000041,168.77,2023-12-03
CUST_0050,TXN_00000042,964.15,2023-07-18
CUST_0005,TXN_00000043,12.34,2023-02-27
CUST_0006,TXN_00000044,290.47,2023-04-28
CUST_0089,TXN_00000045,444.74,2023-08-01
CUST_0007,TXN_00000046,137.31,2023-01-22
CUST_0049,TXN_00000047,789.42,2023-05-25
CUST_0010,TXN_00000048,277.07,2023-12-21
CUST_0080,TXN_00000049,806.51,2023-06-01
CUST_0063,TXN_00000050,364.09,2023-11-29
CUST_0021,TXN_00000051,124.32,2023-03-25
CUST_0080,TXN_00000052,48.59,2023-07-18
CUST_0055,TXN_00000053,346.03,2023-07-24
CUST_0090,TXN_00000054,71.79,2023-03-20
CUST_0094,TXN_00000055,285.3,2023-07-17
CUST_0018,TXN_00000056,301.64,2023-01-13
CUST_0062,TXN_00000057,678.0,2023-09-12
CUST_0017,TXN_00000058,939.64,2023-10-11
CUST_0082,TXN_00000059,917.06,2023-12-07
CUST_0022,TXN_00000060,218.43,2023-02-25
CUST_0040,TXN_00000061,173.96,2023-07-26
CUST_0069,TXN_00000062,670.33,2023-02-17
CUST_0082,TXN_00000063,43.28,2023-02-18
CUST_0072,TXN_00000064,125.09,2023-03-25
CUST_0017,TXN_00000065,969.72,2023-12-30
CUST_0076,TXN_00000066,288.54,2023-12-08
CUST_0015,TXN_00000067,671.44,2023-01-11
CUST_0095,TXN_00000068,957.44,2023-03-08
CUST_0040,TXN_00000069,988.9,2023-08-15
CUST_0033,TXN_00000070,620.49,2023-10-02
CUST_0037,TXN_00000071,533.1,2023-10-14
CUST_0007,TXN_00000072,920.46,2023-01-04
